ACCE_ABSORB_COST	Aufnahmepreis: %d
DETAILS_CATE_1	Schaden/Verteidigung
DETAILS_CATE_2	Elementarboni
DETAILS_CATE_3	Klassenboni
DETAILS_CATE_4	Waffenboni
DETAILS_CATE_5	Sonstige Boni
DETAILS_CATE_6	Spezialboni
DETAILS_HIT_PCT	Präzision
DETAILS_RESIST_MOUNT_FALL	Widerstand g. Sturz
DETAILS_TITLE	Details
DETAILS_TOOLTIP_0	Stark gegen Metinsteine: Fügt Metinsteinen größeren Schaden zu.
DETAILS_TOOLTIP_1	Stark gegen Halbmenschen: Fügt Halbmenschen größeren Schaden zu.
DETAILS_TOOLTIP_10	Stark gegen Wüstenmonster: Fügt Wüstenmonstern größeren Schaden zu.
DETAILS_TOOLTIP_11	Stark gegen Insekten: Fügt Insekten größeren Schaden zu.
DETAILS_TOOLTIP_12	Erhöht deinen Angriffswert.
DETAILS_TOOLTIP_13	Erhöht deinen Verteidigungswert.
DETAILS_TOOLTIP_14	Vergrößert den Durchschnittsschaden, den du Gegnern bei einem Angriff zufügst.
DETAILS_TOOLTIP_15	Widerstand gegen Durchschnittsschaden: Verringert den Schaden, den du bei einem Angriff erleidest.
DETAILS_TOOLTIP_16	Erhöht den Schaden, den eine Fertigkeit verursacht.
DETAILS_TOOLTIP_17	Widerstand gegen Fertigkeitsschaden: Verringert den Schaden, der dir durch eine Fertigkeit zugefügt wird.
DETAILS_TOOLTIP_18	Sowohl der körperliche als auch der magische Angriffswert wird erhöht.
DETAILS_TOOLTIP_19	Erhöht den Schaden, den du Gegnern durch einen magischen Angriff zufügst.
DETAILS_TOOLTIP_2	Widerstand gegen Halbmenschen: Verringert den Schaden, den man von Halbmenschen erleidet.
DETAILS_TOOLTIP_20	Steigert die Chance, einen kritischen Treffer zu erwirken.
DETAILS_TOOLTIP_21	Chance auf einen durchbohrenden Treffer: Steigert die Chance, einen durchbohrenden Treffer zu landen.
DETAILS_TOOLTIP_22	Widerstand gegen kritischen Treffer: Verringert den Schaden, der durch einen kritischen Treffer verusacht wird.
DETAILS_TOOLTIP_23	Widerstand gegen durchbohrenden Treffer: Verringert den Schaden, der durch einen durchbohrenden Treffer verusacht wird.
DETAILS_TOOLTIP_24	Verringert den Schaden, den man durch bestimmte Monster erleidet.
DETAILS_TOOLTIP_25	Verringert den Schaden, den man durch bestimmte Monster erleidet.
DETAILS_TOOLTIP_26	Widerstand gegen Dunkelheit: Verringert den Schaden, den man durch bestimmte Monster erleidet.
DETAILS_TOOLTIP_27	Verringert den Schaden, den man durch bestimmte Monster erleidet.
DETAILS_TOOLTIP_28	Verringert den Schaden, den man durch bestimmte Monster erleidet.
DETAILS_TOOLTIP_29	Verringert den Schaden, den man durch bestimmte Monster erleidet.
DETAILS_TOOLTIP_3	Stärke gegen Orks: Fügt Orks größeren Schaden zu.
DETAILS_TOOLTIP_30	Erhöht den Schaden, den du verursachst, durch die Kraft der Blitze.
DETAILS_TOOLTIP_31	Erhöht den Schaden, den du verursachst, durch die Kraft des Eises.
DETAILS_TOOLTIP_32	Erhöht den Schaden, den du verursachst, durch die Kraft der Dunkelheit.
DETAILS_TOOLTIP_33	Erhöht den Schaden, den du verursachst, durch die Kraft des Feuers.
DETAILS_TOOLTIP_34	Erhöht den Schaden, den du verursachst, durch die Kraft des Windes.
DETAILS_TOOLTIP_35	Erhöht den Schaden, den du verursachst, durch die Kraft der Erde.
DETAILS_TOOLTIP_36	Stark gegen Krieger: Fügt Kriegern größeren Schaden zu.
DETAILS_TOOLTIP_37	Stark gegen Ninja: Fügt Ninja größeren Schaden zu.
DETAILS_TOOLTIP_38	Stark gegen Sura: Fügt Sura größeren Schaden zu.
DETAILS_TOOLTIP_39	Stark gegen Schamanen: Fügt Schamanen größeren Schaden zu.
DETAILS_TOOLTIP_4	Stark gegen Untote: Fügt Untoten größeren Schaden zu.
DETAILS_TOOLTIP_40	Stark gegen Lykaner: Fügt Lykanern größeren Schaden zu.
DETAILS_TOOLTIP_41	Abwehrchance gegen Kriegerangriffe: Verringert den Schaden, den man durch Krieger erleidet.
DETAILS_TOOLTIP_42	Abwehrchance gegen Ninjaangriffe: Verringert den Schaden, den man durch Ninja erleidet.
DETAILS_TOOLTIP_43	Abwehrchance gegen Suraangriffe: Verringert den Schaden, den man durch Sura erleidet.
DETAILS_TOOLTIP_44	Abwehrchance gegen Schamanenangriffe: Verringert den Schaden, den man durch Schamanen erleidet.
DETAILS_TOOLTIP_45	Abwehrchance gegen Lykanerangriffe: Verringert den Schaden, den man durch Lykaner erleidet.
DETAILS_TOOLTIP_46	Verringert den Schaden, der durch ein Schwert verursacht wird.
DETAILS_TOOLTIP_47	Verringert den Schaden, der durch eine Zweihandwaffe verursacht wird.
DETAILS_TOOLTIP_48	Verringert den Schaden, der durch einen Dolch verursacht wird.
DETAILS_TOOLTIP_49	Verringert den Schaden, der durch eine Kralle verursacht wird.
DETAILS_TOOLTIP_5	Stark gegen Monster: Fügt Monstern größeren Schaden zu.
DETAILS_TOOLTIP_50	Verringert den Schaden, der durch eine Glocke verursacht wird.
DETAILS_TOOLTIP_51	Verringert den Schaden, der durch einen Fächer verursacht wird.
DETAILS_TOOLTIP_52	Verringert den Schaden, der durch Pfeil und Bogen verursacht wird.
DETAILS_TOOLTIP_53	Steigert die Chance, einen Gegner in Ohnmacht zu versetzen.
DETAILS_TOOLTIP_54	Steigert die Chance, einen Gegner zu verlangsamen.
DETAILS_TOOLTIP_55	Steigert die Chance, einen Gegner zu vergiften.
DETAILS_TOOLTIP_56	Verringert den Schaden, der durch Gift verursacht wird.
DETAILS_TOOLTIP_57	Steigert die Chance, einen Blutungsangriff zu erwirken.
DETAILS_TOOLTIP_58	Widerstand gegen Blutungsangriff: Verringert den Schaden, der durch einen Blutungsangriff verursacht wird.
DETAILS_TOOLTIP_59	Entzieht deinem Gegner TP, wenn du ihn triffst.
DETAILS_TOOLTIP_6	Stark gegen Zodiakmonster: Fügt Zodiakmonstern größeren Schaden zu.
DETAILS_TOOLTIP_60	Entzieht deinem Gegner MP, wenn du ihn triffst.
DETAILS_TOOLTIP_61	Beschleunigt die Regeneration deiner Trefferpunkte.
DETAILS_TOOLTIP_62	Beschleunigt die Regeneration deiner Manapunkte.
DETAILS_TOOLTIP_63	Chance, Nahkampfangriff abzublocken: Steigert die Chance, einem Nahkampfangriff auszuweichen.
DETAILS_TOOLTIP_64	Chance, Pfeilangriff auszuweichen: Steigert die Chance, einem Pfeil- oder Fernangriff eines Monsters auszuweichen.
DETAILS_TOOLTIP_65	Chance, Nahkampftreffer zu reflektieren: Ein Teil des Nahkampfschadens wird auf den Gegner zurückgeworfen.
DETAILS_TOOLTIP_66	TP-Wiederherstellung beim Töten: Wenn du einen Gegner tötest, erhöhen sich deine Trefferpunkte.
DETAILS_TOOLTIP_67	MP-Wiederherstellung beim Töten: Wenn du einen Gegner tötest, erhöhen sich deine Manapunkte.
DETAILS_TOOLTIP_68	Chance, doppelte Erfahrung zu bekommen: Steigert die Chance auf einen EXP-Bonus, wenn du deinen Gegner besiegt hast.
DETAILS_TOOLTIP_69	Chance, eine doppelte Menge Yang fallen zu lassen: Steigert deine Chance, die doppelte Menge Yang zu erhalten.
DETAILS_TOOLTIP_7	Stark gegen Tiere: Fügt Wildtieren größeren Schaden zu.
DETAILS_TOOLTIP_70	Chance, Gegenstände fallen zu lassen: Steigert die Chance, Gegenstände doppelt zu erbeuten.
DETAILS_TOOLTIP_71	Erhöht deinen Angriffswert.
DETAILS_TOOLTIP_72	Erhöht deinen Verteidigungswert.
DETAILS_TOOLTIP_73	Erhöht das Sammeln von Erfahrung.
DETAILS_TOOLTIP_74	Dropchance von Gegenständen: Steigert deine Chance, Gegenstände zu erbeuten.
DETAILS_TOOLTIP_75	Dropchance Yang: Steigert deine Chance, mehr Yang zu erbeuten.
DETAILS_TOOLTIP_76	Verringert den Schaden, den du durch einen magischen Angriff erleidest.
DETAILS_TOOLTIP_77	Verringert den Magiewiderstand deines Gegners.
DETAILS_TOOLTIP_8	Stark gegen Esoterische: Fügt Esoterischen größeren Schaden zu.
DETAILS_TOOLTIP_9	Stark gegen Teufel: Fügt Teufel größeren Schaden zu.
DETAILS_TOOLTIP_ATTBONUS_BELL	Bruch von Glockenverteidigung: Reduziert die Glockenverteidigung deines Gegners.
DETAILS_TOOLTIP_ATTBONUS_BOW	Bruch von Pfeilverteidigung: Reduziert die Pfeilverteidigung deines Gegners.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Bruch von Krallenverteidigung: Reduziert die Krallenverteidigung deines Gegners.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Bruch von Dolchverteidigung: Reduziert die Dolchverteidigung deines Gegners.
DETAILS_TOOLTIP_ATTBONUS_FAN	Bruch von Fächerverteidigung: Reduziert die Fächerverteidigung deines Gegners.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Bruch von Schwertverteidigung: Reduziert die Schwertverteidigung deines Gegners.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Bruch von Zweihandverteidigung: Reduziert die Zweihandverteidigung deines Gegners.
DETAILS_TOOLTIP_HIT_PCT	Steigert die Chance, den Gegner zu treffen
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Widerstand gegen Sturz: Verringert die Wahrscheinlichkeit, dass du von deinem Reittier stürzt.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Du kannst während einer Abfrage keine Gegenstände bewegen.
DO_NOT_INSERT_UPBRINGING_PET	Das aktive Pet kann nicht angewählt werden.
DO_YOU_BUY_ITEM1	Möchtest du %s für %s Yang kaufen?
DO_YOU_BUY_ITEM2	Möchtest du %s (%s Stück) für %s Yang kaufen?
DO_YOU_BUY_ITEM3	Möchtest du %s für %s Won und %s Yang kaufen?
DO_YOU_BUY_ITEM4	Möchtest du %s (%s Stück) für %s Won und %s Yang kaufen?
DO_YOU_DROP_MONEY	Möchtest du %d Yang fallen lassen?
DO_YOU_SELL_ITEM1	Möchtest du %s für %s Yang verkaufen?
DO_YOU_SELL_ITEM2	Möchtest du %s (%s Stück) für %s Yang verkaufen?
DRAGON_SOUL_CANNOT_REFINE	Diesen Drachenstein kannst du nicht veredeln.
DRAGON_SOUL_CANNOT_REFINE_MORE	Dieser Drachenstein hat die höchste Stufe bereits erreicht.
DRAGON_SOUL_EQUIP_WARNING1	Es ist schwierig, einen Drachenstein wieder zu entfernen.
DRAGON_SOUL_EQUIP_WARNING2	Möchtest du dennoch fortfahren?
DRAGON_SOUL_EXPIRED	Abgelaufener Drachenstein
DRAGON_SOUL_INVALID_DRAGON_SOUL	Das ist der falsche Drachenstein.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Das ist kein Drachenstein.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Das ist nicht der richtige Drachenstein.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Du hast nicht genug Material zum Veredeln.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL2	Für deinen %s\n benötigst du: %s %dx
DRAGON_SOUL_NOT_ENOUGH_MONEY	Du hast nicht genug Yang, um den Bonus zu ändern.
DRAGON_SOUL_NOT_MATCHED_SLOT	Der Drachenstein passt nicht in diesen Slot.
DRAGON_SOUL_STEP_LEVEL1	Reinheit: matt,
DRAGON_SOUL_STEP_LEVEL2	Reinheit: klar,
DRAGON_SOUL_STEP_LEVEL3	Reinheit: lupenrein,
DRAGON_SOUL_STEP_LEVEL4	Reinheit: brillant,
DRAGON_SOUL_STEP_LEVEL5	Reinheit: exzellent,
DRAGON_SOUL_STRENGTH	Stufe: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Der Drachenstein könnte dabei zerstört werden.
DRAGON_SOUL_UNEQUIP_WARNING2	Möchtest du dennoch fortfahren?
DRAGON_SOUL_UNMATCHED_SLOT	Das ist der falsche Slot.
DRAGON_SOUL_UNQUALIFIED	Du kannst die Drachensteinalchemie noch nicht anwenden.
DROP_ITEM_FAILURE_EQUIP_ITEM	Du kannst keine ausgerüsteten Gegenstände fallen lassen.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Du kannst keine Gegenstände fallen lassen, solange du einen privaten Laden geöffnet hast.
DROP_MONEY_FAILURE_1000_OVER	Du kannst nur maximal 999 Yang fallen lassen.
DS_SYSTEM_MSG_1	Du benötigst %s %d-mal.
DUTCH_AUCTION_CLOSE_OTHER_WINDOW	Schließ bitte alle Fenster, bevor du die Blitzauktionen öffnest.
EMOTION_ALCOHOL	Prost!
EMOTION_ANGRY	Ärgerlich
EMOTION_ATTRACTIVE	Verführung
EMOTION_BANTER	Spöttisch
EMOTION_BUSY	Stress
EMOTION_CALL	Anruf
EMOTION_CELEBRATION	Party
EMOTION_CHARGING	Akku
EMOTION_CHEERS_1	Jubel 1
EMOTION_CHEERS_2	Jubel 2
EMOTION_CHEERUP	Jubeln
EMOTION_CHOOSE_ONE	Wähle ein Ziel.
EMOTION_CLAP	Applaus
EMOTION_CLAP_KISS	Kuss
EMOTION_CONGRATULATION	Zuspruch
EMOTION_DANCE_1	Tanz 1
EMOTION_DANCE_2	Tanz 2
EMOTION_DANCE_3	Tanz 3
EMOTION_DANCE_4	Tanz 4
EMOTION_DANCE_5	Tanz 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_DANCE_7	Samba
EMOTION_DOZE	Sekundenschlaf
EMOTION_EXERCISE	Aufwärmen
EMOTION_FORGIVE	Vergebung
EMOTION_FRENCH_KISS	Zungenkuss
EMOTION_HUNGRY	Hunger
EMOTION_JOY	Freude
EMOTION_LETTER	Liebesbrief
EMOTION_NOSAY	Sprachlos
EMOTION_PUSH_UP	Liegestütze
EMOTION_SAD	Traurig
EMOTION_SELFIE	Selfie
EMOTION_SHY	Ablehnung
EMOTION_SIREN	Sirene
EMOTION_SLAP	Schlag
EMOTION_SMH	Sung Mahis Höllenturm
EMOTION_WEATHER_1	Sonne
EMOTION_WEATHER_2	Regenbogen
EMOTION_WEATHER_3	Mond
EMOTION_WHIRL	Verwirrung
EMPIRE_A	Shinsoo-Reich
EMPIRE_B	Chunjo-Reich
EMPIRE_C	Jinno-Reich
EMPIRE_SELECT_MODE	Reich auswählen
EXCHANGE_CANNOT_GIVE	Dieser Gegenstand kann nicht gehandelt werden.
EXCHANGE_CANT_EDIT_MONEY	Du kannst den Betrag jetzt nicht ändern.
EXCHANGE_FAILURE_EQUIP_ITEM	Du kannst ausgerüstete Gegenstände nicht austauschen.
EXCHANGE_MONEY	Betrag
EXCHANGE_TITLE	Mit %s (%d) handeln
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	Du benötigst noch %d Inventarerweiterung(en).
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Dein Inventar hat bereits die maximale Anzahl an Erweiterungen erreicht.
EXINVEN_USE_ITEM_QUESTION	Möchtest du dein Inventar mit %d Inventarerweiterungen vergrößern?
FISHING_FAILURE	Du hast den Fischköder verloren.
FISHING_NOTIFY1	Es sieht aus, als hätte %s angebissen.
FISHING_NOTIFY2	Es sieht aus, als hinge %s am Haken.
FISHING_RENEWAL_CANNOT_EMOTION	Du kannst keine Emotionen verwenden, während du angelst.
FISHING_RENEWAL_CANNOT_OPEN_1	Du kannst es nicht öffnen, während du angelst.
FISHING_RENEWAL_CANNOT_OPEN_2	Du kannst diese Aktion nicht ausführen, während du angelst.
FISHING_RENEWAL_QUESTION	Ein Fisch hat angebissen. Möchtest du ihn fangen?
FISHING_RENEWAL_TIMEOUT	Du hast zu lange gezögert. Der Fisch ist entwischt.
FISHING_SUCCESS1	Du hast %s gefangen!
FISHING_SUCCESS2	Du hast %s aus dem Wasser gezogen!
FISHING_UNKNOWN	Etwas hat angebissen, aber du kannst nicht erkennen, was es ist.
FISHING_WRONG_PLACE	Du kannst hier nicht fischen.
FLOWER_EVENT_USE_ITEM_TEXT1	Möchtest du den aktivierten Effekt ersetzen?
FLOWER_EVENT_USE_ITEM_TEXT2	Versuch kann fehlschlagen, die Blume verwelkt dabei.
FOR_FEMALE	Für Frauen
FOR_MALE	Für Männer
FRAGMENT_COMB_COST	Kombinationskosten: %s
GAME_CANNOT_MINING	Du kannst kein Erz abbauen, während du reitest.
GAME_CANNOT_PICK_ITEM	Du kannst den Gegenstand nicht einsammeln, da er nicht von dir erbeutet wurde.
GAME_GUILDWAR_NOW_JOIN	Möchtest du dem Gildenkrieg beitreten?
GAME_INIT_ERROR_CURSOR	Mauszeiger konnte nicht erstellt werden.
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 muss installiert sein, damit das Spiel ausgeführt werden kann.\nInstalliere DirectX 8.1 oder höher.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Kein Grafikgerät für das Ausführen des Spiels gefunden. \nÜberprüfe, ob deine VGA-Karte korrekt installiert ist.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafikgerät konnte nicht erstellt werden.\nÜberprüfe, ob du über eine VGA-Karte verfügst.\nAlternativ kannst du die Hardware-Beschleunigung aktivieren.\n(Setze die Hardware-Beschleunigung auf Maximum \nSystemsteuerung->Anzeige->Einstellungen->Erweitert->Registerkarte Problembehandlung)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Die Grafikkarte des PCs unterstützt keinen Fenstermodus im 32bit-Modus.\nWechsel zum 16bit-Modus oder verwende den Vollbildmodus.
GAME_INIT_ERROR_ITEM_PROTO	Keine Gegenstandsdaten vorhanden.\nInstalliere das Spiel neu.
GAME_INIT_ERROR_MAIN_WINDOW	Hauptfenster konnte nicht erstellt werden.
GAME_INIT_ERROR_MOB_PROTO	Keine Monsterdaten vorhanden.\nInstalliere das Spiel neu.
GAME_INIT_ERROR_NETWORK	Netzwerkgerät konnte nicht erstellt werden.\nÜberprüfe die Internet-Verbindung.
GAME_PICK_MONEY	Du hast %d Yang erhalten.
GEM_SYSTEM_ADD_SLOT	Erforderlicher Gegenstand: %s.\nMöchtest du jetzt %d davon einsetzen, um einen weiteren Platz zu öffnen?
GEM_SYSTEM_BUY_ITEM	Möchtest du diesen Gegenstand kaufen?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Du besitzt nicht genügend 'Gayahandel zurücksetzen'.
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Du besitzt nicht genug Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Es können keine Plätze mehr erweitert werden.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Öffne zuerst den Gayahandel.
GEM_SYSTEM_PICK_GEM	[Gaya] Anzahl Gaya: %d
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Möchtest du zurücksetzen?
GIVEUP_QUESTION	Möchtest du wirklich aufgeben?
GUILDBANK_CLEARBANK	Achtung: Das Gildenlager muss geleert sein!
GUILDBANK_DONT_MONEY_OUT	Du hast kein Yang in der Gildenbank!
GUILDBANK_GOLD_IN	Einzahlung
GUILDBANK_GOLD_OUT	Auszahlung
GUILDBANK_ITEM_IN	Einlagern
GUILDBANK_ITEM_OUT	Auslagern
GUILDBANK_MONEYIN	Yang einzahlen
GUILDBANK_MONEYOUT	Yang auszahlen
GUILDBANK_NOTUSE	Dir fehlen die Rechte dazu.
GUILDBANK_NOT_ENOUGH_MONEY	Du hast nicht so viel Yang zum Einzahlen.
GUILDBANK_OVER_INCOME	Kontolimit erreicht.
GUILDBANK_OVER_MONEY	Das Gildenkonto ist voll.
GUILDLAND_ABANDON	Gildenland aufgeben
GUILDLAND_ABANDON_TEXT1	Willst du das Gildenland aufgeben?
GUILDLAND_ABANDON_TEXT2	Bist du sicher, dass du das Gildenland aufgeben willst?
GUILDLAND_ABANDON_TEXT3	Das Gildenlager und alle Gebäude werden entfernt.
GUILDLAND_ACCEPT	Ja
GUILDLAND_DONTHAVE_LAND	Du besitzt kein Gildenland.
GUILDLAND_NOT	Nein
GUILDLIST_APPLICANT	Möchtest du dich bewerben?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Höhe beträgt nicht 128 Pixel
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Höhe beträgt nicht 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Breite beträgt nicht 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Breite beträgt nicht 64 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Das Spiel unterstützt dieses Bild nicht.
GUILDMARK_UPLOADER_ERROR_PATH	Verschiebe die Dateien in den Ordner metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Keine Bilddatei ausgewählt.
GUILDWAR_ALL	Kämpfe (K)
GUILDWAR_CTF_TITLE	Flaggenkampf
GUILDWAR_DRAW	Unentschieden (U)
GUILDWAR_GAINSCORE_FIFTY	50 Punkte
GUILDWAR_GAINSCORE_HUNDRED	100 Punkte
GUILDWAR_GAINSCORE_THIRTY	30 Punkte
GUILDWAR_GAMETIME_SIXTY	60 Minuten
GUILDWAR_GAMETIME_TEN	10 Minuten
GUILDWAR_GAMETIME_THIRTY	30 Minuten
GUILDWAR_INPUT_OTHERGUILD	Bitte gegnerische Gilde eintragen.
GUILDWAR_LADDER	Rangpunkte
GUILDWAR_LIMIT_MEMBER_FIVE	Mindestanzahl der Teilnehmer beträgt 5.
GUILDWAR_LOSE	Niederlagen (N)
GUILDWAR_NORMAL_TITLE	Feldschlacht
GUILDWAR_OVER_MEMBERCOUNT	Du hast das Mitgliederlimit erreicht.
GUILDWAR_QUESTION_LINE_1	Die Gilde %s hat deiner Gilde den Krieg erklärt.
GUILDWAR_QUESTION_LINE_2	Nimmst du an? (%s)
GUILDWAR_RANKING	Rang
GUILDWAR_RECODE_ALL	%d K, %d S, %d N, %d U
GUILDWAR_SELECT_MEMBER_COUNT	Wähle die Anzahl der Teilnehmer.
GUILDWAR_TYPE_DEFENSE	Schildkampf
GUILDWAR_TYPE_TIGER	Vernichtungskampf
GUILDWAR_TYPE_TIME	Zeitangriff
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Arenakampf
GUILDWAR_WIN	Siege (S)
GUILDWAR_WIN_FIVE	Fünf Runden
GUILDWAR_WIN_ONE	Eine Runde
GUILDWAR_WIN_THREE	Drei Runden
GUILDWINDOW_BUTTON_BANKGOLDINFO	Gildenlager-Log
GUILDWINDOW_BUTTON_BASEABANDON	Gildenland aufgeben
GUILDWINDOW_BUTTON_BASEDEAL	Gildenland verkaufen
GUILDWINDOW_BUTTON_BOARD	Gildennotizen
GUILDWINDOW_BUTTON_CHANGEMASTER	Gildenleiter wechseln
GUILDWINDOW_BUTTON_DECLARE	Kriegserklärung
GUILDWINDOW_BUTTON_DONATE	Spende
GUILDWINDOW_BUTTON_GOLDIN	Einzahlung
GUILDWINDOW_BUTTON_GOLDOUT	Auszahlung
GUILDWINDOW_BUTTON_GRADE	Rechteverwaltung
GUILDWINDOW_BUTTON_GUILDLIST	Gildenliste
GUILDWINDOW_BUTTON_HEALGSP	Drachenmacht wiederherstellen
GUILDWINDOW_BUTTON_INFO	Gildeninformationen
GUILDWINDOW_BUTTON_LANDINFO	Landinformationen
GUILDWINDOW_BUTTON_MARK	Gildenzeichen hochladen
GUILDWINDOW_BUTTON_MEMBER	Mitglieder
GUILDWINDOW_BUTTON_OFFER	EXP spenden
GUILDWINDOW_BUTTON_OUTMEMBER	Mitglied entfernen
GUILDWINDOW_BUTTON_SKILL	Gildenfertigkeiten
GUILDWINDOW_BUTTON_SYMBOL	Gildenflagge hochladen
GUILDWINDOW_BUY_GUILD_LAND	Landkauf
GUILDWINDOW_CHANGE_BLACKSMITH	Profession ändern
GUILDWINDOW_CHANGE_OBJECT	Umbau
GUILDWINDOW_CHANGE_SMELTER	Ofen-Umbau
GUILDWINDOW_CREATE_OBJECT	Gebäudebau
GUILDWINDOW_DEAL_GUILD_LAND	Landverkauf
GUILDWINDOW_GRADE_BANK	Darf die Gildenbank und das Gildenlager nutzen
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Darf Mitglieder aus der Gilde entfernen
GUILDWINDOW_GRADE_GRADENAME	Rangname
GUILDWINDOW_GRADE_GRADENUMBER	Rangnummer
GUILDWINDOW_GRADE_GUILDWAR	Darf Mitglieder auswählen, die als Kämpfer teilnehmen können
GUILDWINDOW_GRADE_INVITEAUTHORITY	Darf Spieler in die Gilde aufnehmen
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Darf Gildennotizen anpinnen
GUILDWINDOW_GRADE_SKILLAUTHORITY	Darf Gildenfertigkeiten nutzen
GUILDWINDOW_INFO_LEVEL10	Erhöht max. Mitgliederzahl
GUILDWINDOW_INFO_LEVEL15	Preisnachlass: Drachenmacht
GUILDWINDOW_INFO_LEVEL20	Bank: Steuerbefreiung
GUILDWINDOW_INFO_LEVEL5	+5% EXP auf Gildenspende
GUILDWINDOW_LAND_TAX	Pacht
GUILDWINDOW_LIST_ALL	Alle Reiche
GUILDWINDOW_LIST_ALREADY_REGISTER	[Gilde] Du hast dich bereits beworben.
GUILDWINDOW_LIST_APPLICANT_LIST	Bewerberliste
GUILDWINDOW_LIST_CHRACTER_JOB	Klasse
GUILDWINDOW_LIST_CHRACTER_LV	Level
GUILDWINDOW_LIST_CHRACTER_NAME	Charaktername
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Lehre
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Mitglieder
GUILDWINDOW_LIST_GUILD_LIST	Gildenliste
GUILDWINDOW_LIST_GUILD_LV	Level
GUILDWINDOW_LIST_GUILD_NAME	Gilde
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Gilde] Bitte gib einen Gildennamen ein.
GUILDWINDOW_LIST_LADDER	Rangpunkte
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Gilde] Diese Gilde hat keine Ausschreibung.
GUILDWINDOW_LIST_PROMOTE_GUILD	Bewerbung
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Gildenliste
GUILDWINDOW_LIST_RANKING	Position
GUILDWINDOW_LIST_RANKING_COUNT	Position
GUILDWINDOW_LIST_REGISTER	Bewerbungen
GUILDWINDOW_LIST_REGISTER_GUILD	Bei Gilde bewerben
GUILDWINDOW_LIST_SEARCH	Suchen
GUILDWINDOW_LIST_SELECT_GUILD	[Gilde] Bitte wähle eine Gilde, um dich zu bewerben.
GUILDWINDOW_PROMOTE_REFRESH	Werbung
GUILDWINDOW_PROMOTE_REGISTER	Werbung
GUILDWINDOW_SP_RECOVER	Drachenmacht
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Altar-Ausbau
GUILDWINDOW_UPGRADE_GUILDBANK	Bank-Ausbau
GUILD_ATTENDANCE_FAIL_ALREADY	Du hast heute bereits teilgenommen.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Du kannst jetzt nicht teilnehmen. Die Teilnahme wird immer um 5:00 Uhr zurückgesetzt.
GUILD_BANKINFO_CLOSE	Schließen
GUILD_BANKINFO_NAME	Mitglied
GUILD_BANKINFO_TYPE	Gegenstand/Währung
GUILD_BANKINFO_USETYPE	Aktion
GUILD_BANK_CLOSE	Schließen
GUILD_BANK_INFO	Gildenlager-Log
GUILD_BOARD_ID	Mitglied
GUILD_BOARD_TEXT	Nachricht
GUILD_BUILDING_FIX_CHANGE	Möchtest du die Position wirklich verändern?
GUILD_BUILDING_FIX_CHANGE_GOLD	Kosten: 1.000.000 Yang
